Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Delaware,Overall,Smokeless Tobacco Use (Youth),4.4,28,38,24,5,Low,Low,Sedentary,None,2,Curiosity,No
Hawaii,Overall,Cigarette Use (Youth),7.4,34,33,34,8,Medium,Medium,Active,Professional Help,8,Peer Pressure,No
Missouri,Overall,Smokeless Tobacco Use (Youth),2.5,25,22,39,9,High,Low,Sedentary,None,6,Peer Pressure,No
New Jersey,Overall,Cigarette Use (Youth),2.2,52,25,24,9,Medium,High,Moderate,None,4,Stress Relief,No
Mississippi,Overall,Cigarette Use (Youth),23.3,52,18,36,7,Low,Medium,Sedentary,None,5,Family Influence,No
Mississippi,Male,Cigarette Use (Youth),21.5,50,6,28,3,Low,High,Sedentary,None,3,Curiosity,No
Wisconsin,Overall,Smokeless Tobacco Use (Youth),0.2,22,18,34,1,Low,Low,Active,Family & Friends,4,Family Influence,Yes
Mississippi,Overall,Smokeless Tobacco Use (Youth),6.4,59,16,16,0,Low,Medium,Sedentary,Professional Help,7,Media Influence,No
Arizona,Female,Smokeless Tobacco Use (Youth),0.1,56,15,36,6,Low,Low,Sedentary,Professional Help,4,Family Influence,Yes
Connecticut,Female,Smokeless Tobacco Use (Youth),0.2,58,8,7,9,Low,Low,Active,Professional Help,9,Curiosity,No
Alabama,Male,Cessation (Youth),65.1,45,13,18,2,Medium,High,Moderate,None,1,Stress Relief,No
North Carolina,Male,Smokeless Tobacco Use (Youth),1.0,24,7,6,5,Medium,Medium,Sedentary,None,7,Stress Relief,No
Alabama,Male,Smokeless Tobacco Use (Youth),24.3,26,17,28,4,Medium,Low,Moderate,Family & Friends,2,Media Influence,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),9.8,25,32,39,4,High,High,Active,Family & Friends,4,Curiosity,Yes
Maryland,Overall,Cigarette Use (Youth),8.3,29,22,34,1,Medium,High,Moderate,Professional Help,5,Stress Relief,No
Maine,Female,Cigarette Use (Youth),2.0,51,13,29,8,Low,Medium,Sedentary,None,0,Media Influence,No
West Virginia,Male,Cigarette Use (Youth),49.3,50,23,4,3,Medium,Low,Sedentary,None,2,Family Influence,No
Louisiana,Overall,Cigarette Use (Youth),1.4,40,29,14,9,Medium,Medium,Moderate,None,0,Curiosity,No
Illinois,Female,Smokeless Tobacco Use (Youth),4.8,41,22,5,0,High,Medium,Moderate,Professional Help,6,Stress Relief,No
Arizona,Female,Smokeless Tobacco Use (Youth),1.8,54,1,25,1,Low,Low,Sedentary,Professional Help,1,Curiosity,Yes
Mississippi,Overall,Smokeless Tobacco Use (Youth),14.1,52,29,39,8,High,Medium,Active,None,9,Stress Relief,No
Kentucky,Overall,Smokeless Tobacco Use (Youth),4.9,57,5,8,6,High,Medium,Sedentary,None,6,Stress Relief,No
Pennsylvania,Overall,Smokeless Tobacco Use (Youth),7.7,39,35,15,9,High,Medium,Sedentary,Professional Help,2,Curiosity,Yes
Utah,Male,Smokeless Tobacco Use (Youth),6.1,44,10,19,1,Medium,High,Moderate,Professional Help,2,Stress Relief,Yes
South Carolina,Male,Smokeless Tobacco Use (Youth),8.9,52,19,11,6,Low,Low,Sedentary,Family & Friends,0,Family Influence,Yes
Connecticut,Male,Cessation (Youth),41.8,18,37,20,3,Low,Medium,Moderate,Family & Friends,6,Media Influence,No
Oklahoma,Overall,Smokeless Tobacco Use (Youth),25.6,52,7,36,9,High,High,Active,Family & Friends,7,Peer Pressure,No
Nebraska,Overall,Smokeless Tobacco Use (Youth),0.4,54,35,18,1,Low,High,Sedentary,None,3,Curiosity,No
Nebraska,Male,Smokeless Tobacco Use (Youth),39.3,31,13,14,3,Low,Medium,Active,None,8,Curiosity,No
Connecticut,Male,Smokeless Tobacco Use (Youth),0.4,20,10,38,4,High,Low,Active,None,3,Media Influence,No
Delaware,Overall,Smokeless Tobacco Use (Youth),14.0,18,2,25,3,Medium,High,Sedentary,Professional Help,9,Family Influence,No
Ohio,Male,Smokeless Tobacco Use (Youth),5.5,22,6,16,2,High,Medium,Moderate,Family & Friends,4,Peer Pressure,Yes
Delaware,Male,Cigarette Use (Youth),5.5,43,8,18,5,High,Low,Moderate,Professional Help,5,Family Influence,No
Texas,Female,Cigarette Use (Youth),42.3,31,36,1,0,Medium,Low,Sedentary,Professional Help,8,Curiosity,No
Connecticut,Female,Smokeless Tobacco Use (Youth),4.3,56,25,1,7,Medium,Medium,Moderate,Professional Help,8,Peer Pressure,No
New Jersey,Female,Smokeless Tobacco Use (Youth),0.3,44,7,1,4,Medium,High,Moderate,None,7,Stress Relief,No
Florida,Female,Cessation (Youth),59.7,26,23,21,7,Medium,Low,Active,None,9,Curiosity,No
Georgia,Male,Cessation (Youth),47.3,32,19,25,9,High,Low,Moderate,Professional Help,1,Family Influence,Yes
North Dakota,Male,Smokeless Tobacco Use (Youth),1.3,32,22,27,3,Medium,Low,Moderate,Family & Friends,9,Media Influence,No
Delaware,Female,Smokeless Tobacco Use (Youth),1.9,43,13,10,3,Low,Low,Sedentary,None,9,Stress Relief,No
Vermont,Overall,Smokeless Tobacco Use (Youth),6.3,59,21,12,4,High,High,Active,None,0,Peer Pressure,No
Alabama,Female,Cessation (Youth),63.9,30,1,28,4,High,High,Moderate,Professional Help,1,Curiosity,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),0.4,49,19,32,5,Medium,Medium,Sedentary,None,5,Media Influence,No
Rhode Island,Overall,Smokeless Tobacco Use (Youth),3.8,56,33,33,4,Medium,Medium,Moderate,Family & Friends,6,Media Influence,No
Florida,Male,Cigarette Use (Youth),7.6,49,4,8,4,Low,High,Active,Professional Help,5,Family Influence,No
Hawaii,Female,Smokeless Tobacco Use (Youth),4.1,21,3,26,7,Medium,Medium,Active,None,0,Media Influence,No
New York,Overall,Smokeless Tobacco Use (Youth),2.2,47,27,2,5,High,Low,Active,Professional Help,0,Family Influence,Yes
Missouri,Male,Cigarette Use (Youth),12.0,54,35,35,1,Medium,High,Active,Professional Help,0,Peer Pressure,Yes
South Carolina,Male,Cessation (Youth),57.1,40,28,34,3,Low,Low,Active,Family & Friends,0,Curiosity,Yes
Illinois,Female,Cigarette Use (Youth),24.0,56,6,6,3,High,High,Active,Family & Friends,9,Peer Pressure,No
Virginia,Female,Cigarette Use (Youth),4.6,32,6,31,4,High,High,Sedentary,None,9,Family Influence,No
Louisiana,Male,Cessation (Youth),47.5,46,23,23,5,Medium,Medium,Active,Professional Help,0,Peer Pressure,Yes
Delaware,Male,Smokeless Tobacco Use (Youth),19.3,53,33,12,4,Low,High,Moderate,None,1,Curiosity,No
Delaware,Male,Smokeless Tobacco Use (Youth),22.8,30,16,28,5,Low,Medium,Moderate,None,1,Curiosity,No
Connecticut,Female,Cigarette Use (Youth),7.5,49,24,15,7,Medium,High,Moderate,None,3,Media Influence,No
Rhode Island,Male,Cigarette Use (Youth),28.1,24,5,19,3,High,Low,Moderate,Family & Friends,2,Family Influence,Yes
Arkansas,Male,Cigarette Use (Youth),55.8,39,13,12,2,High,Low,Active,Professional Help,3,Peer Pressure,Yes
Virginia,Female,Cigarette Use (Youth),15.3,45,12,2,8,High,Low,Active,Professional Help,4,Media Influence,Yes
Alabama,Overall,Smokeless Tobacco Use (Youth),1.5,19,5,11,2,Medium,Low,Sedentary,Family & Friends,3,Media Influence,Yes
North Carolina,Female,Smokeless Tobacco Use (Youth),2.3,59,37,37,7,High,Low,Active,Family & Friends,2,Peer Pressure,Yes
Kansas,Male,Smokeless Tobacco Use (Youth),15.2,23,31,38,9,High,Low,Moderate,None,2,Family Influence,No
Indiana,Male,Cigarette Use (Youth),11.1,45,28,25,4,Medium,High,Sedentary,None,3,Family Influence,No
North Dakota,Female,Smokeless Tobacco Use (Youth),4.6,45,28,21,8,High,Medium,Sedentary,Family & Friends,5,Curiosity,No
Illinois,Male,Smokeless Tobacco Use (Youth),0.9,37,30,36,2,Medium,High,Sedentary,Family & Friends,6,Family Influence,No
North Carolina,Male,Cessation (Youth),42.5,47,18,9,9,Low,Low,Sedentary,Professional Help,3,Media Influence,Yes
Connecticut,Female,Cigarette Use (Youth),61.9,28,27,12,9,Low,Low,Active,Professional Help,7,Curiosity,No
West Virginia,Male,Smokeless Tobacco Use (Youth),12.2,45,35,10,7,Medium,High,Sedentary,Professional Help,5,Stress Relief,No
Iowa,Female,Cessation (Youth),62.3,42,26,5,6,Medium,Medium,Active,Family & Friends,4,Curiosity,Yes
Utah,Female,Cessation (Youth),57.4,56,39,33,6,Medium,Medium,Sedentary,None,7,Media Influence,No
Connecticut,Male,Cessation (Youth),47.7,50,18,5,9,High,Medium,Active,Professional Help,5,Peer Pressure,No
Hawaii,Overall,Cigarette Use (Youth),0.4,18,33,16,8,High,Medium,Active,Family & Friends,0,Peer Pressure,Yes
Alabama,Overall,Cessation (Youth),47.3,44,25,37,7,Medium,Low,Moderate,Family & Friends,0,Peer Pressure,Yes
Mississippi,Male,Cigarette Use (Youth),39.0,30,31,37,2,Medium,Low,Active,None,9,Media Influence,No
New Jersey,Female,Smokeless Tobacco Use (Youth),0.3,58,37,29,5,High,Medium,Sedentary,Professional Help,9,Curiosity,No
Delaware,Female,Smokeless Tobacco Use (Youth),0.9,20,2,18,5,High,High,Sedentary,Professional Help,5,Peer Pressure,No
Vermont,Female,Smokeless Tobacco Use (Youth),4.6,56,33,29,4,Medium,High,Active,Family & Friends,7,Family Influence,No
Georgia,Female,Cigarette Use (Youth),4.4,23,39,6,2,High,Low,Active,Professional Help,8,Stress Relief,No
Connecticut,Female,Cigarette Use (Youth),52.2,25,32,18,8,High,High,Active,None,3,Peer Pressure,No
Kansas,Male,Smokeless Tobacco Use (Youth),1.8,44,18,32,6,Low,Low,Active,Professional Help,6,Peer Pressure,No
Indiana,Male,Smokeless Tobacco Use (Youth),2.1,26,17,31,3,Medium,Low,Moderate,None,8,Stress Relief,No
West Virginia,Female,Cessation (Youth),58.5,54,34,11,5,Medium,Medium,Moderate,Family & Friends,7,Family Influence,No
North Carolina,Female,Cessation (Youth),66.0,50,39,26,4,High,Medium,Moderate,None,7,Stress Relief,No
West Virginia,Male,Cessation (Youth),76.3,59,7,28,0,Low,Medium,Moderate,None,0,Peer Pressure,No
California,Overall,Cigarette Use (Youth),26.9,41,35,27,1,Medium,Medium,Moderate,None,9,Peer Pressure,No
Louisiana,Overall,Smokeless Tobacco Use (Youth),18.3,32,30,19,0,Medium,Medium,Active,None,5,Curiosity,No
Wisconsin,Female,Cessation (Youth),58.7,49,12,27,8,High,Medium,Moderate,Family & Friends,8,Media Influence,No
North Carolina,Overall,Cigarette Use (Youth),0.6,49,35,20,8,Medium,High,Moderate,None,7,Curiosity,No
Colorado,Female,Cessation (Youth),61.5,41,11,3,4,High,Medium,Active,Family & Friends,1,Curiosity,Yes
New Jersey,Female,Cigarette Use (Youth),15.4,58,4,16,7,Low,Medium,Active,Professional Help,4,Curiosity,Yes
North Dakota,Female,Cigarette Use (Youth),1.5,29,25,39,9,Low,Low,Sedentary,Professional Help,3,Curiosity,Yes
Georgia,Overall,Cessation (Youth),47.8,56,32,29,3,Medium,Low,Sedentary,Professional Help,7,Curiosity,No
Louisiana,Overall,Smokeless Tobacco Use (Youth),7.9,19,20,15,0,High,Medium,Sedentary,Professional Help,8,Family Influence,No
Arkansas,Female,Smokeless Tobacco Use (Youth),9.4,20,31,30,3,Low,Low,Moderate,Family & Friends,2,Media Influence,Yes
Missouri,Male,Smokeless Tobacco Use (Youth),3.8,54,4,1,6,Medium,High,Active,Family & Friends,8,Media Influence,No
Tennessee,Female,Cessation (Youth),48.6,34,38,29,1,Medium,High,Sedentary,Professional Help,0,Media Influence,Yes
West Virginia,Female,Smokeless Tobacco Use (Youth),3.6,19,1,30,1,Medium,High,Sedentary,None,6,Family Influence,No
Arizona,Male,Cessation (Youth),55.4,19,3,32,5,High,High,Moderate,Professional Help,7,Family Influence,No
Oklahoma,Female,Smokeless Tobacco Use (Youth),8.2,45,37,10,8,High,Medium,Sedentary,Professional Help,5,Family Influence,No
North Dakota,Male,Cigarette Use (Youth),1.4,40,22,27,2,Low,High,Active,Professional Help,3,Peer Pressure,Yes
North Dakota,Female,Cigarette Use (Youth),55.2,54,17,8,6,High,High,Active,Family & Friends,3,Media Influence,Yes
Pennsylvania,Overall,Cigarette Use (Youth),0.2,49,14,36,9,High,High,Sedentary,Professional Help,6,Stress Relief,No
Arkansas,Female,Cigarette Use (Youth),60.5,50,35,35,8,Medium,High,Active,Professional Help,9,Curiosity,No
Tennessee,Male,Smokeless Tobacco Use (Youth),2.6,18,13,36,8,Medium,Low,Sedentary,Professional Help,5,Peer Pressure,No
New Jersey,Female,Smokeless Tobacco Use (Youth),1.0,36,35,36,3,Low,High,Sedentary,Family & Friends,3,Peer Pressure,Yes
New York,Male,Cigarette Use (Youth),13.7,19,2,25,1,Medium,High,Active,Professional Help,4,Curiosity,Yes
Kentucky,Female,Cessation (Youth),61.2,43,13,20,0,Medium,Low,Active,Professional Help,9,Peer Pressure,No
Iowa,Male,Smokeless Tobacco Use (Youth),16.0,49,16,17,5,Medium,Low,Moderate,None,3,Family Influence,No
South Dakota,Male,Smokeless Tobacco Use (Youth),15.3,23,18,23,4,High,Medium,Moderate,Professional Help,0,Peer Pressure,Yes
North Dakota,Female,Cigarette Use (Youth),19.5,49,7,25,5,Medium,Low,Sedentary,Family & Friends,3,Media Influence,Yes
South Carolina,Male,Smokeless Tobacco Use (Youth),19.3,21,36,31,6,Low,Low,Active,None,5,Media Influence,No
Mississippi,Male,Cigarette Use (Youth),8.2,28,30,6,8,Low,Low,Sedentary,Professional Help,1,Stress Relief,Yes
Connecticut,Overall,Smokeless Tobacco Use (Youth),2.6,34,7,35,9,Medium,High,Moderate,Family & Friends,6,Media Influence,No
Indiana,Male,Cigarette Use (Youth),22.0,55,15,4,9,Medium,Medium,Sedentary,None,8,Curiosity,No
Rhode Island,Female,Cigarette Use (Youth),2.6,41,19,20,5,Low,Medium,Active,Family & Friends,9,Curiosity,No
Arkansas,Female,Smokeless Tobacco Use (Youth),6.6,22,37,1,5,High,High,Active,None,1,Media Influence,No
Mississippi,Overall,Cessation (Youth),51.7,51,2,26,2,Medium,Medium,Moderate,Family & Friends,6,Family Influence,No
Nebraska,Overall,Smokeless Tobacco Use (Youth),26.2,23,13,34,7,Low,High,Sedentary,None,1,Media Influence,No
Hawaii,Female,Cigarette Use (Youth),3.7,39,31,10,8,High,Low,Sedentary,Professional Help,8,Family Influence,No
South Dakota,Overall,Cigarette Use (Youth),21.1,28,16,23,0,Low,High,Active,Professional Help,0,Curiosity,Yes
Missouri,Male,Cigarette Use (Youth),12.6,33,6,24,5,High,High,Moderate,Professional Help,3,Media Influence,Yes
Illinois,Female,Smokeless Tobacco Use (Youth),0.0,50,28,13,6,Low,Low,Active,Professional Help,1,Stress Relief,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),0.6,26,32,29,7,Low,Low,Active,None,0,Curiosity,No
Nebraska,Female,Smokeless Tobacco Use (Youth),0.5,23,10,27,9,High,Medium,Moderate,None,1,Stress Relief,No
Wisconsin,Male,Cessation (Youth),54.5,33,18,31,7,Medium,High,Active,None,9,Curiosity,No
Oklahoma,Female,Cigarette Use (Youth),34.0,46,4,10,6,Low,Low,Sedentary,None,5,Peer Pressure,No
Kansas,Female,Smokeless Tobacco Use (Youth),5.6,20,9,31,7,Medium,Medium,Sedentary,None,4,Peer Pressure,No
Missouri,Male,Cigarette Use (Youth),43.5,37,7,39,8,Low,High,Sedentary,None,0,Peer Pressure,No
West Virginia,Male,Cessation (Youth),57.4,53,8,10,9,High,Low,Active,Professional Help,2,Stress Relief,Yes
Iowa,Female,Smokeless Tobacco Use (Youth),2.2,36,7,24,6,Medium,Low,Moderate,None,9,Family Influence,No
South Dakota,Female,Cessation (Youth),56.4,43,3,33,2,High,High,Moderate,Family & Friends,5,Curiosity,No
Ohio,Overall,Cigarette Use (Youth),3.7,20,17,14,8,High,Low,Moderate,Family & Friends,4,Peer Pressure,Yes
Nebraska,Male,Cigarette Use (Youth),9.7,36,2,35,0,Medium,High,Moderate,Family & Friends,5,Stress Relief,No
Connecticut,Female,Cigarette Use (Youth),1.7,37,15,34,7,Medium,High,Moderate,None,7,Curiosity,No
West Virginia,Overall,Smokeless Tobacco Use (Youth),5.9,49,29,17,5,Medium,High,Active,Professional Help,5,Peer Pressure,No
Mississippi,Male,Cigarette Use (Youth),19.2,24,22,21,2,High,Low,Moderate,Family & Friends,4,Peer Pressure,Yes
